Designation (and name)	Prov	. Des.	q	Q	EMoid	H	Epoch	M	Peri.	Node	Incl.	e	a	Opps.	Ref.	Designation (and name)	"Discovery date, site and discoverer(s)"
	2012	VK5	0.724	1.152	0.04777	24.8	20131104	257.8	152.3	42.3	4.8	0.228	0.938	( 15d)	MPO244112	2012 VK5	2012 11 03  G96  Mt. Lemmon Survey
	2012	UK171	0.669	1.051	0.01388	24.5	20131104	230.2	357.7	251.2	1.3	0.222	0.86	( 25d)	MPO244105	2012 UK171	2012 10 25  704  LINEAR
	2012	UU68	0.725	1.155	0.00579	23	20131104	312.1	292.9	221.1	5.5	0.229	0.94	(  8d)	MPO240179	2012 UU68	2012 10 18  F51  Pan-STARRS 1
	2012	UA34	0.156	1.416	0.08809	19.4	20131104	321.7	222.3	19.1	19.8	0.802	0.786	( 81d)	MPO252125	2012 UA34	2012 10 17  F51  Pan-STARRS 1
	2012	UC	0.626	1.234	0.01848	25	20131104	328.7	128.4	20.5	8.3	0.327	0.93	(  6d)	MPO240170	2012 UC	2012 10 16  G96  Mt. Lemmon Survey
	2012	TR231	0.595	1.083	0.0735	23.9	20131104	336.7	347.4	199.9	33.4	0.291	0.839	(  5d)	MPO240156	2012 TR231	2012 10 14  G96  Mt. Lemmon Survey
	2012	TS	0.879	1.103	0.09033	20.8	20131104	182.5	21	190.9	16.5	0.113	0.991	2	MPO278276	2012 TS	2012 10 04  703  Catalina Sky Survey
	2012	SX49	0.838	1.059	0.02046	26.2	20131104	224.8	210.1	353.6	3.9	0.117	0.949	(  2d)	MPO240117	2012 SX49	2012 09 22  G96  Mt. Lemmon Survey
	2012	SU9	0.595	1.264	0.00395	27.2	20131104	182.2	264.2	323.6	0.5	0.36	0.93	(  5d)	MPO240097	2012 SU9	2012 09 19  G96  Mt. Lemmon Survey
	2012	RT16	0.658	1.21	0.01192	26.9	20131104	187	54.4	172.2	10.4	0.295	0.934	(  2d)	MPO240069	2012 RT16	2012 09 15  G96  Mt. Lemmon Survey
	2012	RL15	0.619	1.134	0.07691	24.3	20131104	2.8	334.1	173	26.4	0.294	0.877	(  8d)	MPO245951	2012 RL15	2012 09 14  703  Catalina Sky Survey
	2012	QL14	0.355	1.192	0.0729	24.4	20131104	52.1	194.2	329.8	15.3	0.541	0.773	( 24d)	MPO242011	2012 QL14	2012 08 21  F51  Pan-STARRS 1
	2012	QH8	0.582	1.256	0.22516	21.2	20131104	339	356.4	141	19.4	0.367	0.919	( 32d)	MPO242011	2012 QH8	2012 08 19  E12
	2012	PY19	0.698	1.048	0.00969	27.5	20131104	16.6	171.9	318.2	1.4	0.2	0.873	(  3d)	MPO236378	2012 PY19	2012 08 13  F51  Pan-STARRS 1
	2012	PZ17	0.767	1.021	0.00544	26.7	20131104	333.6	7.3	139.9	5.4	0.142	0.894	(  7d)	MPO236377	2012 PZ17	2012 08 14  E12  Siding Spring Survey
	2012	PG6	0.322	1.353	0.05322	20.3	20131104	95.9	169.7	312.1	6.5	0.616	0.837	2	MPO242008	2012 PG6	2012 08 10  J75
	2012	OD1	0.412	1.245	0.03891	18.6	20131104	6.2	224.4	303.8	42.3	0.502	0.829	2	MPO265865	2012 OD1	2012 07 19  J75
	2012	MD7	0.871	1.083	0.01637	24.1	20131104	27.3	135.3	266.2	3.8	0.109	0.977	(  2d)	MPO233505	2012 MD7	2012 06 23  703  Catalina Sky Survey
	2012	MO3	0.5	1.375	0.088	20.8	20131104	298.4	279.9	220.2	13.4	0.467	0.937	2	MPO278273	2012 MO3	2012 06 17  G96  Mt. Lemmon Survey
	2012	MX2	0.423	1.222	0.02141	23.1	20131104	78.8	204.9	266.3	5.3	0.486	0.822	(  9d)	MPO233501	2012 MX2	2012 06 18  G96  Mt. Lemmon Survey
	2012	LF11	0.464	1.331	0.1117	20.8	20131104	319.2	263.5	222.2	11.6	0.483	0.897	2	MPO273979	2012 LF11	2012 06 14  F51  Pan-STARRS 1
	2012	LA11	0.893	1.083	0.00591	26.1	20131104	259.8	241.8	261	5.1	0.096	0.988	2	MPO269758	2012 LA11	2012 06 15  703  Catalina Sky Survey
	2012	KF25	0.939	1.037	0.01795	25.3	20131104	13.1	336.3	64.9	16.9	0.05	0.988	(  3d)	MPO231390	2012 KF25	2012 05 25  703  Catalina Sky Survey
	2012	JG11	0.546	1.379	0.11263	18.9	20131104	262	280.4	165.6	24.7	0.433	0.962	2	MPO265024	2012 JG11	2012 05 12  G96  Mt. Lemmon Survey
	2012	HL31	0.555	1.22	0.14456	22.3	20131104	80.9	17.5	37.5	19.8	0.375	0.888	( 17d)	MPO232627	2012 HL31	2012 04 28  G96  Mt. Lemmon Survey
	2012	HP13	0.813	1.16	0.00207	24.2	20131104	112.3	286.4	37.1	23	0.176	0.987	(  5d)	MPO229030	2012 HP13	2012 04 22  703  Catalina Sky Survey
	2012	FC71	0.903	1.076	0.05572	25.2	20131104	26.9	347.7	38.3	4.9	0.088	0.99	( 21d)	MPO230294	2012 FC71	2012 03 31  G96  Mt. Lemmon Survey
	2012	FT35	0.663	1.004	0.00055	29.2	20131104	236.9	169.5	185.1	5.1	0.204	0.834	(  3d)	MPO230291	2012 FT35	2012 03 24  G96  Mt. Lemmon Survey
	2012	FK15	0.925	1.057	0.04711	26.5	20131104	89	327	0.6	24.4	0.067	0.991	(  1d)	MPO226099	2012 FK15	2012 03 22  G96  Mt. Lemmon Survey
	2012	EH5	0.856	1.106	0.10843	24.5	20131104	58.2	5.1	356.5	15.6	0.127	0.981	( 18d)	MPO232615	2012 EH5	2012 03 13  F51  Pan-STARRS 1
	2012	EP3	0.557	1.309	0.03718	25.5	20131104	225.6	141.6	148.8	6.6	0.403	0.933	(  1d)	MPO223151	2012 EP3	2012 03 03  G96  Mt. Lemmon Survey
	2012	EO3	0.502	1.059	0.05855	23	20131104	341	352.2	345.5	29.5	0.356	0.78	( 11d)	MPO227527	2012 EO3	2012 03 03  G96  Mt. Lemmon Survey
	2012	DJ61	0.445	1.391	0.02748	19.9	20131104	216.9	311.9	346.3	53.6	0.515	0.918	2	MPO260828	2012 DJ61	2012 02 28  F51  Pan-STARRS 1
	2012	DH54	0.799	1.073	0.00781	27.5	20131104	188.2	131	162.3	3.3	0.146	0.936	( 14d)	MPO227524	2012 DH54	2012 02 27  F51  Pan-STARRS 1
	2012	DR32	0.456	1.314	0.00507	24.6	20131104	284.7	312.1	341.1	17.2	0.485	0.885	(  4d)	MPO223138	2012 DR32	2012 02 25  703  Catalina Sky Survey
	2012	DL31	0.744	1.174	0.11299	22.8	20131104	75.3	200	159.8	9.5	0.224	0.959	2	MPO260828	2012 DL31	2012 02 24  F51  Pan-STARRS 1
	2012	DK31	0.293	1.094	0.02598	21.8	20131104	206.3	149.2	165.3	11.2	0.577	0.693	( 15d)	MPO227521	2012 DK31	2012 02 24  E12  Siding Spring Survey
	2012	DQ8	0.818	1.102	0.10934	21.3	20131104	102.2	0	342.8	29.8	0.148	0.96	( 29d)	MPO227518	2012 DQ8	2012 02 21  703  Catalina Sky Survey
	2012	DO8	0.714	1.178	0.12461	22.4	20131104	118.6	356.9	347.5	8.8	0.246	0.946	( 56d)	MPO230284	2012 DO8	2012 02 21  691  Spacewatch
	2012	DK4	0.73	1.052	0.01125	23.6	20131104	205.9	148.6	168.3	4.1	0.181	0.891	( 37d)	MPO227518	2012 DK4	2012 02 19  704  LINEAR
	2012	CM2	0.777	1.196	0.07397	24.8	20131104	28.9	28.9	337.4	5.9	0.212	0.987	(  1d)	MPO223082	2012 CM2	2012 02 03  G96  Mt. Lemmon Survey
	2012	BF86	0.427	1.086	0.02356	22.6	20131104	42.4	196.3	117.7	6	0.436	0.756	2	MPO285744	2012 BF86	2012 01 27  704  LINEAR
	2012	BO77	0.415	1.473	0.0672	22.2	20131104	242.9	327.2	306.2	12.4	0.561	0.944	( 22d)	MPO224743	2012 BO77	2012 01 27  G96  Mt. Lemmon Survey
	2012	BL77	0.464	1.422	0.1144	23.3	20131104	237.5	146.6	124.4	20.7	0.508	0.943	( 23d)	MPO224743	2012 BL77	2012 01 26  F51  Pan-STARRS 1
	2012	BX34	0.49	1.034	0.00022	27.6	20131104	104.6	335.7	306.8	10.5	0.357	0.762	(  2d)	MPO227510	2012 BX34	2012 01 25  703  Catalina Sky Survey
	2012	BK14	0.789	1.182	0.0018	27.4	20131104	22	254.8	118.7	1.5	0.199	0.986	(  0d)	MPO219477	2012 BK14	2012 01 21  703  Catalina Sky Survey
