full_name,pdes,name,H,diameter,extent,rot_per,H_sigma,diameter_sigma,moid
 35670 (1998 SU27),35670,,19.3,,,,,,0.0703518
 36017 (1999 ND43),36017,,19.1,,,11.4,,,0.0776892
 36183 (1999 TX16),36183,,16,,,5.6121,,,0.134271
 36236 (1999 VV),36236,,15.8,,,,,,0.228858
 36284 (2000 DM8),36284,,14.9,,,3.844,,,0.268496
 37336 (2001 RM),37336,,15.6,,,,,,0.348651
 37638 (1993 VB),37638,,19.4,,,,,,0.000867625
 37655 Illapa (1994 PM),37655,Illapa,17.9,,,2.6556,,,0.0236769
 38071 (1999 GU3),38071,,19.6,,,216,,,0.0340124
 38086 Beowolf (1999 JB),38086,Beowolf,17.4,,,,,,0.385613
 38239 (1999 OR3),38239,,18.2,,,,,,0.0552881
 39565 (1992 SL),39565,,18.5,,,,,,0.0919866
 39572 (1993 DQ1),39572,,16.4,,,,,,0.0264582
 39796 (1997 TD),39796,,15.7,,,,,,0.183644
 40263 (1999 FQ5),40263,,17.6,,,,,,0.256232
 40267 (1999 GJ4),40267,,15.4,,,4.9567,,,0.157431
 40329 (1999 ML),40329,,17.6,,,,,,0.232829
 41429 (2000 GE2),41429,,20.5,,,,,,0.0110218
 41440 (2000 HZ23),41440,,19.9,,,,,,0.236455
 42286 (2001 TN41),42286,,16.4,,,,,,0.109946
 48603 (1995 BC2),48603,,17.6,,,,,,0.13621
 52340 (1992 SY),52340,,17.7,,,,,,0.0976515
 52381 (1993 HA),52381,,20,,,,,,0.167631
 52387 (1993 OM7),52387,,17.8,,,26,,,0.0605793
 52689 (1998 FF2),52689,,18.8,,,,,,0.211139
 52750 (1998 KK17),52750,,16.3,,,3.124,,,0.161879
 52760 (1998 ML14),52760,,17.5,1,,14.98,,0.05,0.0155418
 52761 (1998 MN14),52761,,17.8,,,,,,0.193215
 52762 (1998 MT24),52762,,14.8,,,12.08,,,0.142235
 52768 (1998 OR2),52768,,15.8,,,3.198,,,0.0155832
 53110 (1999 AR7),53110,,16.6,,,,,,0.409504
 53319 (1999 JM8),53319,,15.2,7,,136,,1.4,0.0437021
 53409 (1999 LU7),53409,,18.7,,,,,,0.0857407
 53426 (1999 SL5),53426,,17.1,,,,,,0.0250462
 53429 (1999 TF5),53429,,18.9,,,,,,0.0478248
 53430 (1999 TY16),53430,,16.6,,,9.58,,,0.289157
 53435 (1999 VM40),53435,,14.6,,,5.189,,,0.198246
 53550 (2000 BF19),53550,,19,,,,,,0.046215
 53789 (2000 ED104),53789,,17.3,,,43,,,0.0475942
 54071 (2000 GQ146),54071,,17.2,,,51,,,0.125848
 54401 (2000 LM),54401,,17.1,,,,,,0.354086
 54509 YORP (2000 PH5),54509,YORP,22.7,,,0.2029,,,0.00041301
 54660 (2000 UJ1),54660,,17.8,,,5.43,,,0.086646
 54686 (2001 DU8),54686,,16.4,,,,,,0.433288
