(1544) Vinterhansen,ia      *,13.77,0.18,2
(1547) Nele,,7.081,0.3,2
(155) Scylla,*,7.958,0.12,2
(1550) Tito,,54.2,0.23,2
(1556) Wingolfia,*,10,0.15,2 D
(1559) Kustaanheimo,*,4.301,0.23,3
(156) Xanthippe,,22.37,0.12,3
(15607) 2000 GA124,*,3.588,0.16,3
(1562) Gondolatsch,,8.782,0.3,3
(1566) Icarus,,2.273,0.05-0.22,4
(1567) Alikoski,,16.405,0.16,3
(1568) Aisleen,,6.68,0.41,3
(157) Dejanira,*,15.819,0.52,2
(1572) Posnania,,8.048,0.32-0.38,4
(1575) Winifred,*,?,0.03,1
(1576) Fabiola,,6.7,0.2,2:00 PM
(15789) 1993 SC,,,<0.04,
(158) Koronis,,14.206,0.28-0.43,4
(1580) Betulia,*,6.1384,0.21-0.65,4 3
(15810) 1994 JR1,,,,
(15817) Lucianotesi,,>11.,>0.9,2 N
(1582) Martir,*,15.665,0.36,2
(15820) 1994 TB,,6.5,0.3,2
(1583) Antilochus,*,>12.,0.04-0.11,1
(1584) Fuji,,14.88,0.17,3
(1585) Union,,9.38,0.22,2
(1586) Thiele,,3.37,0.35,2
(15874) 1996 TL66,,,<0.06,
(15875) 1996 TP66,,,<0.12,
(1589) Fanatica,,2.58,0.16,3
(159) Aemilia,,25,>0.2,2 N
(1590) Tsiolkovskaj,a,6.7,0.4,2:00 PM
(1591) Baize,,10,>0.26,2
(1593) Fagnes,,25.1,0.47,2:00 AM
(1596) Itzigsohn,,21,>0.15,1
(16) Psyche,,4.196,0.03-0.42,4
(160) Una,,5.61,0.14,3
(1600) Vyssotsky,*,3.2011,0.13-0.18,3
(1601) Patry,,5.923,0.17,3
(1603) Neva,*,6.4249,0.2,2
(1604) Tombaugh,,7.04,0.2,2
(1605) Milankovitch,,11.6,0.12,2
(16064) 1999 RH27,*,178.5,0.7,2 T
(1609) Brenda,,19.46,0.16,2
(161) Athor,,7.288,0.1 -0.27,2:00 AM
(1613) Smiley,*,81,0.3,2
(1615) Bardwell,,>18.,>0.2,1 D
(1617) Alschmitt,,7.061,0.39-0.52,3
(1619) Ueta,,2.94,0.44,2
(162) Laurentia,,11.87,0.28,2
(1620) Geographos,,5.223,1.10-2.03,4
(1621) Druzhba,,>12.,>0.16,1
(1626) Sadeya,,3.438,0.22,3
(1627) Ivar,,4.795,0.25-1.0,3
(1628) Strobel,*,9.52,0.19,2
(163) Erigone,,16.136,0.37,3
(1630) Milet,*,32.55,0.37,2
(1631) Kopff,,6.683,0.41,3
(1635) Bohrmann,,11.73,0.25,2
(16382) 1981 ER27,,4.9,0.46,2
(1639) Bower,,12.5,0.15,2
(164) Eva,,13.66,0.07-0.36,3
(1640) Nemo,,5,0.52,3
(16403) 1984 WJ1,*,7.5391,0.14,3 N
(1641) Tana,,6.01,0.33,2
(1644) Rafita,,5.1,0.31,2
(1645) Waterfield,,4.861,0.2,3
(1646) Rosseland,,69.2,0.13,2
(1648) Shajna,*,6.414,0.65,3
(165) Loreley,*,7.226,0.04-0.15,3
(1651) Behrens,,34.344,0.16,2
(1653) Yakhontovia,*,15.41,0.03,2
(1655) Comas Sola,*,20.4,0.2,2
(16558) 1991 VQ2,,37.37,0.22,2
(1656) Suomi,,2.59,0.09-0.20,2
(1657) Roemera,,4.5,0.09,2
(1659) Punkaharju,,5.01,0.26,3
(166) Rhodope,,4.715,0.13-0.35,3
(1662) Hoffmann,*,8.784,0.25,3
(1665) Gaby,*,66,0.27,2
(1667) Pels,,3.268,0.25,3
(167) Urda,,13.07,0.36-0.39,3
(1670) Minnaert,*,3.528,0.25,3
(16706) Svojsik,*,6.72,0.07,1
(1671) Chaika,*,3.7718,0.18,3
(1672) Gezelle,,,>0.2,
(1674) Groeneveld,,8.1,0.19,2
(1675) Simonida,,5.3,0.26,3
(1679) Nevanlinna,,17.94,0.16,2
(168) Sibylla,,23.82,>0.30,1
(1680) Per Brahe,*,3.44,0.11,2
(16834) 1997 WU22,,9.345,0.38,3 N
(1685) Toro,,10.196,0.6 -1.25,4
(1687) Glarona,,6.3,0.75,3
(1689) Floris-Jan,,145,0.4,3 T?
(169) Zelia,,13.27,0.13-0.2,2
(1693) Hertzsprung,,8.825,0.45,3
(1694) Kaiser,*,13.23,0.13-0.25,2+
(1695) Walbeck,,5.3,0.34,2
(17) Thetis,,12.266,0.13-0.36,4
(170) Maria,,13.14,0.24,2
(1701) Okavango,,13.204,0.45,2
(17035) Velichko,*,2.899,0.2,2
(1707) Chantal,*,>10.,>0.2,1 PN
(1708) Polit,,7.52,0.3,3
(1709) Ukraina,,7.28,0.62,3
(171) Ophelia,,13.4,0.16,2
(1710) Gothard,,4.939,0.31,3
(1712) Angola,,11.527,0.38,3
(1715) Salli,,>11.,>0.5,1:00 PM
(1717) Arlon,*,5.1484,0.08,3 BN
(1719) Jens,,5.867,0.5,3
(172) Baucis,,27.417,0.25,3
(1722) Goffin,,29,0.6,2
(1723) Klemola,,5.57,0.22,3
(17246) 2000 GL74,,,,B
(17260) 2000 JQ58,*,3.1285,0.15,3 NB
(1727) Mette,,2.982,0.27,3
(17274) 2000 LC16,,16.495,0.33,2
(173) Ino,,6.163,0.04-0.11,4
(1732) Heike,,3.9,0.27,2 D
(1735) ITA,,12.599,0.26,2
(17383) 1981 EE12,,7.4,0.07,1
(174) Phaedra,,5.744,0.38,3
(1742) Schaifers,,8.56,1.46,3
(1743) Schmidt,,17.45,0.36,3
(1746) Brouwer,,19.8,0.35,2
(1747) Wright,*,5.2896,0.61,3
(1748) Mauderli,,6,0.12,3
(175) Andromache,,7.668,0.21-0.34,2
(17511) 1992 QN,,5.9902,1.1,3
(1753) Mieke,,8.8,0.2,2:00 PM
(1754) Cunningham,,4.285,0.10-0.17,2
(17556) 1993 WB,*,9.17,0.7,3
(1757) Porvoo,,4.89,0.3,3
(1758) Naantali,,,,
(1759) Kienle,,29.25,0.3,2
(176) Iduna,,11.289,0.35,2
(1762) Russell,,,,
(1764) Cogshall,*,3.624,0.2,2
(17664) 1996 VP30,*,3.68,0.2,3
(177) Irma,,14.208,0.37,2
(1772) Gagarin,,10.96,0.24,2
(1775) Zimmerwald,,,,N
(1777) Gehrels,*,2.8358,0.26,3
(178) Belisana,,12.321,0.18,2
(1780) Kippes,,18,0.23,2
(1782) Schneller,,,>0.6,1
(1783) Albitskij,,>12.,0.4,2
(17864) 1998 KK38,*,6.56,0.17,2
(1789) Dobrovolsky,,5.8,0.7,2:00 PM
(179) Klytaemnestr,a,11.173,0.35,3
(1793) Zoya,,7,0.4,2:00 PM
(1796) Riga,,11,0.1,2
(1799) Koussevitzky,,6.325,0.25,2
(18) Melpomene,,11.5714,0.22-0.35,4
(1803) Zwicky,,27.1,0.08,1
(1804) Chebotarev,,4.026,0.41,3
(1805) Dirikis,,23,0.45,2
(1807) Slovakia,,46,0.26,2
(181) Eucharis,,>24.,0.15,2
(18108) 2000 NT5,,2.92,0.15,3
(18109) 2000 NG11,,4.2534,1.13,3 N
(1813) Imhotep,,17.978,0.46,2
(1815) Beethoven,*,54,0.2,1
(1816) Liberia,,3.086,0.19,3
(1817) Katanga,,6.35,0.22,2
(182) Elsa,,80,0.7,3
(1825) Klare,,4.744,0.75,3
(1826) Miller,,6.773,0.06,1
(1829) Dawson,*,4.254,0.05-0.28,3
(183) Istria,,11.77,0.31,3
(1832) Mrkos,*,13.64,0.18,2
(1833) Shmakova,,3.93,0.38,3
(1838) Ursa,,16.141,0.8,3
(184) Dejopeja,,6.455,0.25-0.3,3
(1845) Helewalda,,,,
(1847) Stobbe,,6.37,0.27,2
(1848) Delvaux,,3.637,0.61,3
(18487) 1996 AU3,,6.512,0.72,2
(185) Eunike,,10.83,>0.12,3
(1853) McElroy,,8.01,0.2,2
